,Tweets,date,source,likes,retweet,image_url,sentiment
0,Chilly overnight temperatures tonight will result in some frost advisories and freeze warnings for parts of the lower Ohio Valley and northern Mid-Atlantic.pic.twitter.com/i6MKL5WhlM,2018-10-18 20:48:12,https://twitter.com/NWS/status/1053085371851067393,60,27,https://pbs.twimg.com/media/Dp1PidLWoAAOG3f.jpg,-1
1,"Gravity waves can form in the atmosphere during storms, as a result of destabilizing processes such as weather fronts. See how gravity waves travel thousands of miles across our atmosphere.https://twitter.com/NASAEarth/status/1053039159265263616 …",2018-10-18 18:08:19,https://twitter.com/NWS/status/1053045134932303873,306,134,,0
2,"Not an uncommon issue, taking shelter from one hazard may leave you susceptible to another... # DropCoverKisses. # ShakeOut # GreatShakeOutpic.twitter.com/sAI3Pt9rC8",2018-10-18 13:18:00,https://twitter.com/NWS/status/1052972074212446211,217,46,https://pbs.twimg.com/media/DpzF0uqU8AAsWx6.jpg,1
3,What you need to know about our 2018-19 # WinterOutlook. (Video with captions: https://www.climate.gov/news-features/videos/noaas-mike-halpert-explains-2018-19-us-winter-outlook …)pic.twitter.com/OKFB49b7BP,2018-10-18 11:29:53,https://twitter.com/NWS/status/1052944866534088704,308,245,,0
4,"At 10:18am, Join # ShakeOut. # DropCoverHoldOn. At the coast? Practice tsunami evacuation. https://youtu.be/LTpd3gGEC-c # TsunamiPreppic.twitter.com/qLMmVnzrFw",2018-10-18 08:55:00,https://twitter.com/NWS/status/1052905887839477762,84,63,https://pbs.twimg.com/media/Dpj4gveWkAUwCd9.png,0
5,"Frost can be annoying to scrape off your car, but did you ever think about how it got there? Watch this video for a little # FrostScience: http://youtu.be/HBn1oSWu2nE pic.twitter.com/kKN1MJMUSX",2018-10-18 08:17:27,https://twitter.com/NWS/status/1052896439716732929,136,79,,-1
6,"Here is a look at the Climate Prediction Center's 6-10 day outlook. Above average temperatures are expected in most of the west and portions of the Gulf Coast, and below average temperatures east of the Plains.pic.twitter.com/SjviJ5dJBf",2018-10-17 21:37:59,https://twitter.com/NWS/status/1052735511742308352,202,127,https://pbs.twimg.com/media/DpwQMf0W0AA4W2B.jpg,1
7,Ever?!?!,2018-10-17 16:20:59,https://twitter.com/NWS/status/1052655737263050752,2,0,,0
8,That's a nice look. # NoNamedStormspic.twitter.com/cpmz7ayBM4,2018-10-17 16:14:18,https://twitter.com/NWS/status/1052654052876664837,371,99,,1
9,"Are you ready to # ShakeOut? Tomorrow at 10:18 is the ShakeOut, the world’s largest earthquake drill. If you are at the coast, a quake could be followed by a tsunami. Include tsunamis in your drill & register online! http://www.ShakeOut.org | http://weather.gov/tsunamisafety # TsunamiPreppic.twitter.com/wo9LDNf4mF",2018-10-17 11:57:00,https://twitter.com/NWS/status/1052589302536912897,138,114,https://pbs.twimg.com/media/Dpj4KxUWsAANwPB.png,1
10,FREEZING temperatures are expected tonight and early Thursday morning across several states. Take action to protect sensitive vegetation. # CoverYourTenders http://weather.gov pic.twitter.com/0ljMClVpaJ,2018-10-17 10:49:54,https://twitter.com/NWS/status/1052572414729707521,49,29,https://pbs.twimg.com/media/Dpt81X1U4AEr3Rt.jpg,1
11,Certainly make a judgement call depending on what kind of road you are on.,2018-10-16 21:59:14,https://twitter.com/NWS/status/1052378470964178944,1,0,,1
12,A quiet Atlantic Tropical Basin is a welcome sight.https://twitter.com/NWSCorpus/status/1052343267508068353 …,2018-10-16 21:02:47,https://twitter.com/NWS/status/1052364266890821633,731,146,,1
13,"Near record flooding on the Llano River following several days of persistent, heavy rainfall. Remember, if you encounter a flooded road # TurnAroundDontDrownhttps://twitter.com/NWSSanAntonio/status/1052301308873584640 …",2018-10-16 17:29:13,https://twitter.com/NWS/status/1052310520748003328,38,26,,-1
14,"A serious flooding situation continues to develop across parts of south and central Texas this morning, with a number of rivers seeing MAJOR flooding (pink points). Some are under evacuation orders. Follow orders & NEVER drive or walk through floodwaters. http://weather.gov pic.twitter.com/bzakWULy3U",2018-10-16 11:48:44,https://twitter.com/NWS/status/1052224833851932672,51,46,https://pbs.twimg.com/media/DppAVkEU8AEQ3oz.jpg,-1
15,"Ongoing, life-threatening flash and river flooding occurring across parts of Texas this morning. Obey evacuation orders, and NEVER drive or walk through floodwaters. Turn around, don't drown. http://weather.gov pic.twitter.com/7oS2GBLeaq",2018-10-16 10:15:58,https://twitter.com/NWS/status/1052201488246820864,70,81,https://pbs.twimg.com/media/Dporm5JXUAAdKgw.jpg,0
16,"Fire weather conditions remain extreme through tonight in southern California, and elevated-to-critical for portions of northern California and southern California through tomorrow.https://twitter.com/NWSSPC/status/1051916770087448576 …",2018-10-15 22:10:36,https://twitter.com/NWS/status/1052018943064506369,50,32,,-1
17,We love when our Partners amplify an important weather safety message such as # TurnAroundDontDrownhttps://twitter.com/USGS_Texas/status/1051938564701937664 …,2018-10-15 17:39:28,https://twitter.com/NWS/status/1051950711020371968,43,17,,1
18,"Join in the fun! What is your favorite coffee mug for chilly mornings? Post on @ NWSReno tweet, and see what everyone else is sharing.https://twitter.com/NWSReno/status/1051948331675656197 …",2018-10-15 17:37:49,https://twitter.com/NWS/status/1051950294555381761,20,7,,1
19,"In case you're wondering, former Hurricane Michael remnants have reached the Iberian Peninsula in southwestern Europe.https://twitter.com/NWSEastern/status/1051944112453234688 …",2018-10-15 17:35:54,https://twitter.com/NWS/status/1051949812436881415,194,95,,0
20,Strong Santa Ana winds are creating extreme fire danger in parts of Southern California today. Gusts in excess of 60 mph can also cause damage to homes and buildings. Graphic: @ NWSSanDiegopic.twitter.com/0YYDSIAKOE,2018-10-15 14:57:39,https://twitter.com/NWS/status/1051909989051314178,74,60,https://pbs.twimg.com/media/DpkiQyDW0AAQhDM.jpg,1
21,"Get ready to # ShakeOut! Thursday is the ShakeOut, the world’s largest earthquake drill. Do you know what to do if an earthquake strikes when you’re at the beach? Watch this video https://youtu.be/-6ZuYwV348I and register to participate at http://ShakeOut.org . # TsunamiPreppic.twitter.com/6QHOJvVIyo",2018-10-15 11:51:57,https://twitter.com/NWS/status/1051863257437364225,46,57,https://pbs.twimg.com/media/Dpj3_Y-WkAUHY7e.png,1
22,It's snowing. In Texas. In October. Neat!https://twitter.com/NWSAmarillo/status/1051604312974077954 …,2018-10-15 09:36:28,https://twitter.com/NWS/status/1051829160015003649,226,71,,0
23,High winds and dry conditions combine to create extremely critical fire weather conditions today across Southern California. Wildfires will have potential to grow rapidly. http://weather.gov/safety/wildfire https://twitter.com/NWSSanDiego/status/1051811468100947969 …,2018-10-15 08:44:04,https://twitter.com/NWS/status/1051815971609042950,31,21,,1
24,"This cold front from Canada will bring much below normal temperatures to much of the U.S., and areas of early season snow across the Rockies, Plains, and Mississippi Valley. A dusting of snow was even seen today on some southern California mountain-tops.https://twitter.com/NWSMidland/status/1051569089821503488 …",2018-10-14 18:01:48,https://twitter.com/NWS/status/1051593942221955072,142,58,,1
25,"Deep, cold, Canadian air in the Great Basin will increase offshore winds and produce extreme Fire Weather threats across southern California early this week. Critical Fire Weather threats are forecast through at least mid-week.https://twitter.com/NWSSPC/status/1051560085921644544 …",2018-10-14 17:34:42,https://twitter.com/NWS/status/1051587123906777088,58,29,,-1
26,"If you are out and about this Sunday, here are the high temperatures (left) expected across the country. It's pretty evident where temperatures will be below average (right), from parts of the West through the Plains to the East, by as much as 20 to 40 degrees. # October14pic.twitter.com/DLtDFr4P5A",2018-10-14 08:06:48,https://twitter.com/NWS/status/1051444207989260289,87,45,https://pbs.twimg.com/media/Dpd42MuXcAEGdG_.jpg,1
27,Several areas of the country will be under a Frost Advisory or Freeze Watch/Warning tonight and/or tomorrow night. Check http://weather.gov to see your local forecast.pic.twitter.com/DcsMmI5MaY,2018-10-13 19:47:43,https://twitter.com/NWS/status/1051258209363795968,80,44,https://pbs.twimg.com/media/DpbQhpDXoAE-biW.jpg,0
28,A few tornadoes and scattered damaging wind gusts are possible across parts of central and eastern Texas into early evening. The NWS Storm Prediction Center has issued a Tornado Watch for portions of Central Texas effective until 600 PM CDT.pic.twitter.com/0PW7gdSkB4,2018-10-13 15:00:12,https://twitter.com/NWS/status/1051185856021745664,39,26,https://pbs.twimg.com/media/DpaPXc-WsAEIUm-.jpg,1
29,Increasing winds and dry conditions will produce elevated-to-critical fire weather threats this weekend and into next week for portions of California.https://twitter.com/NWSSacramento/status/1051136635285463040 …,2018-10-13 12:31:02,https://twitter.com/NWS/status/1051148314840829953,29,13,,-1
30,"Snow is creating hazardous conditions on some heavily traveled roads, including I-90 in Wyoming.https://twitter.com/NWSRiverton/status/1051124290588954624 …",2018-10-13 11:02:47,https://twitter.com/NWS/status/1051126105237843968,118,48,,1
31,"Chilly conditions across the U.S. is bringing very early snowfall to some locations. Snowfall in the and valley locations of the central U.S., and Appalachians in the east will likely melt away given enough sunshine. Higher mountain locations may see up to a foot of new snow.https://twitter.com/NWSBlacksburg/status/1051061334203355136 …",2018-10-13 09:13:34,https://twitter.com/NWS/status/1051098622283124736,101,31,,-1
32,"An upper trough over southern California, and remnant moisture from Sergio in the South Plains is producing areas of heavy rain, with the potential for flash flooding. A moderate risk for excessive rains is forecast for portions of northeastern TX and southeastern OK.pic.twitter.com/TXayq7hUN5",2018-10-13 08:57:46,https://twitter.com/NWS/status/1051094646032613376,39,19,https://pbs.twimg.com/media/DpY8JiBXgAAFYSV.jpg,1
33,"Satellites can identify surface features as well as cloud features. Snow is colored in white and clouds in pink in this satellite loop, Watch the white snow area shrink in size in eastern Wyoming.https://twitter.com/NOAASatellites/status/1050854591015849984 …",2018-10-13 07:50:50,https://twitter.com/NWS/status/1051077799564505088,64,21,,-1
34,Hurricane Michael was the first Category 4 storm to make landfall along the Florida Panhandle since records began in 1851. View it's path from the Gulf to the Atlantic using GOES visible and infrared imagery.pic.twitter.com/gVA87b3BIf,2018-10-12 20:37:56,https://twitter.com/NWS/status/1050908461985394688,734,395,,1
35,Satellite imagery shows the snow melting in Wyoming and Montana this morning.https://twitter.com/NOAASatellites/status/1050854591015849984 …,2018-10-12 18:44:22,https://twitter.com/NWS/status/1050879880093675521,70,23,,0
36,"100 yrs ago yesterday, 10/11/1918, the Puerto Rico earthquake & # tsunami caused 140+ deaths & ~$62 million in damage. @ NWS is helping Puerto Rico prepare for future tsunamis: http://weather.gov/tsunamiready pic.twitter.com/xvlHOMJk9r",2018-10-12 12:30:07,https://twitter.com/NWS/status/1050785697471324161,36,20,https://pbs.twimg.com/media/DpUj1ppUUAA0pTC.jpg,0
37,. @ USCPSC Survival Tips for AFTER the Storm: Keep Your Family Safe and Avoid Deadly Dangers https://www.cpsc.gov/content/cpsc-survival-tips-for-after-the-storm-keep-your-family-safe-and-avoid-deadly-dangers … # Michae lpic.twitter.com/FawWAmjf6Y,2018-10-12 10:28:21,https://twitter.com/NWS/status/1050755054012166146,47,65,https://pbs.twimg.com/media/DpUIBlkU0AAIsLs.jpg,1
38,"National Geodetic Survey damage assessment imagery for # Michael is now available online. Check this site out to see what's available, and how to use the viewer.https://twitter.com/noaaocean/status/1050749507196071936 …",2018-10-12 10:12:23,https://twitter.com/NWS/status/1050751034988072960,96,61,,1
39,"Specifically, the areas highlighted in these graphics are at risk for flash flooding over the next three days. If you encounter a flooded roadway, do NOT attempt to drive through it. Turn around, don't drown. http://weather.gov for the latest in your area.pic.twitter.com/c7RxEEUiVf",2018-10-12 08:37:37,https://twitter.com/NWS/status/1050727187215716352,28,13,https://pbs.twimg.com/media/DpTuvk5UwAAc-at.jpg,1
40,"Moisture from the remnants of # Sergio will play a part in the risk for flash flooding across portions of NM, AZ, and West TX today. That moisture will push east tomorrow, and focus along a cold front - meaning a risk for flash flooding across portions of the Southern Plains.https://twitter.com/NOAASatellites/status/1050725013056356352 …",2018-10-12 08:35:32,https://twitter.com/NWS/status/1050726664089624576,63,45,,-1
41,Rip currents are an issue along a number of Gulf beaches through today. Check http://weather.gov/beaches before heading out.https://twitter.com/NWSMobile/status/1050482213400272896 …,2018-10-12 07:45:20,https://twitter.com/NWS/status/1050714029084332032,48,36,,0
42,"We want to thank our followers who help spread weather safety info-sharing a message or graphic could help save a life. Meteorologists worked long hours to predict what # Michael would do. But honestly, it's the people on the other end of the forecast that make all the difference.pic.twitter.com/5snsdnDGIv",2018-10-11 22:26:17,https://twitter.com/NWS/status/1050573337494257670,682,163,,1
43,"Heavy rain from # Michael is leading to widespread flooding. A flooded roadway is dangerous at any time of day... at night, you may not even know it's there. If possible, stay off the roads. http://weather.gov/safety/flood-turn-around-dont-drown …pic.twitter.com/IGpg1ImCc2",2018-10-11 19:33:15,https://twitter.com/NWS/status/1050529794629279749,66,51,https://pbs.twimg.com/media/DpQ7QQSUUAEhmy1.jpg,-1
44,# Michael is continuing to impact the Mid-Atlantic. Remember there are many different ways to get warnings. Receiving warnings for dangerous weather events can save your life. http://youtu.be/ZqmguEWojYw pic.twitter.com/IZmDnjnd28,2018-10-11 18:10:24,https://twitter.com/NWS/status/1050508942709850113,42,19,,-1
45,"# Michael continues to impact the southeastern US. Stay up to date with forecasts, safety information, and links to NWS social media posts. http://weather.gov/wrn/michael pic.twitter.com/UUMfx4ArEk",2018-10-11 16:26:21,https://twitter.com/NWS/status/1050482758202601478,58,31,https://pbs.twimg.com/media/DpQQbR3UUAEVe5X.jpg,1
46,For those who have evacuated from # Michael: please do not return home until local officials give the all clear. Roads may be blocked and conditions may still be dangerous.https://twitter.com/SenRickScott/status/1050401720797417473 …,2018-10-11 15:43:38,https://twitter.com/NWS/status/1050472007312334848,202,118,,-1
47,Flooded roadways from # Michael is a very real risk. Driving into floodwaters could be the last decision you ever make! # TurnAroundDontDrown http://weather.gov/safety/flood-turn-around-dont-drown …pic.twitter.com/WYuxyiCRS8,2018-10-11 15:00:18,https://twitter.com/NWS/status/1050461104009285632,150,146,,1
48,"# Michael is moving into the Mid-Atlantic and bringing the threat for heavy, flooding rains along the eastern slopes of the Appalachians. Minimize your risk from debris flows by staying off the roads and in a safe location. http://weather.gov/flood pic.twitter.com/0M2GmXGufC",2018-10-11 14:43:33,https://twitter.com/NWS/status/1050456887278342144,30,24,https://pbs.twimg.com/media/DpP46pSWsAAyEtV.jpg,1
49,"As # Michael moves through the Carolinas, continue to watch out for falling trees. Ground in the area is still saturated from Florence and it won’t take much wind to knock them over.pic.twitter.com/Ge76QStsl4",2018-10-11 13:55:48,https://twitter.com/NWS/status/1050444870333153281,98,79,https://pbs.twimg.com/media/DpPtvVtW0AIFHzX.jpg,1
50,"Tornado Watch in effect for parts of Virginia and North Carolina. Be prepared to seek shelter, interior rooms on the lowest floor of a sturdy building are safest. Avoid windows and cover your head to protect yourself from flying debris. http://weather.gov/safety/tornado # Michaelhttps://twitter.com/NWSSPC/status/1050385047621132288 …",2018-10-11 13:03:24,https://twitter.com/NWS/status/1050431683995082754,50,52,,0
51,Crews are hard at work cleaning up in some areas from # Michael. Help crews by staying off the roads if possible.https://twitter.com/GeorgiaEMA/status/1050315268914855936 …,2018-10-11 10:06:34,https://twitter.com/NWS/status/1050387183339786240,58,25,,-1
52,Let your family and friends know that you are Safe & Well after # Michael. It will bring your loved ones great peace of mind. This site can also be used to check the status of others. Make sure your neighbors are OK! @ RedCross https://safeandwell.communityos.org/cms/index.php,2018-10-11 09:55:40,https://twitter.com/NWS/status/1050384439472259072,64,58,,1
53,Excessive rainfall from # TropicalStormMichael brings potential flash flooding. Stay off the roads and remain in a safe location if you are in the impacted areas.pic.twitter.com/0u5Cx3oGGC,2018-10-11 09:25:41,https://twitter.com/NWS/status/1050376895404097536,138,132,https://pbs.twimg.com/media/DpOv_flWsAADdls.jpg,1
54,Flooding continues from # Michael. NEVER drive or walk into floodwaters. Turn Around Don’t Drown! http://weather.gov/safety/flood-turn-around-dont-drown …pic.twitter.com/9C9NNZUKZe,2018-10-11 08:50:44,https://twitter.com/NWS/status/1050368098669391872,83,79,https://pbs.twimg.com/media/DpOoIc7V4AIIIZ5.png,0
55,Next Facebook Live update on # Michael from NHC Director Ken Graham at 8:30am EDThttps://twitter.com/NHC_Atlantic/status/1050345540268019713 …,2018-10-11 07:27:24,https://twitter.com/NWS/status/1050347126981611521,37,23,,1
56,Strong winds overnight tonight across much of southern Georgia will likely result in downed trees. Make sure you and your loved ones are tucked away in a safe spot for the night. # Michaelpic.twitter.com/ZyJyhZbwRh,2018-10-10 22:44:23,https://twitter.com/NWS/status/1050215508333748224,143,103,https://pbs.twimg.com/media/DpMdMaCUwAIs2rt.jpg,1
57,Proud to be a small piece of this preparedness and response puzzle and honored to work with men and women who are out there trying to save lives.https://twitter.com/SenRickScott/status/1050193542704967681 …,2018-10-10 22:19:50,https://twitter.com/NWS/status/1050209326814642176,112,22,,1
58,"Michael isn't the only show in town. Freezing temps in the Plains and Northwestern US, snow in the northern portions of the Midwest, and ongoing flooding in portions of the central US. What's happening where you are? Check http://weather.gov .pic.twitter.com/m6GrbwQ7BC",2018-10-10 20:47:30,https://twitter.com/NWS/status/1050186093201625088,88,56,https://pbs.twimg.com/media/DpMCovZU4AAH8L9.jpg,0
59,"For some of you, the storm has passed. What’s Next? Don’t venture out. Water & power lines don’t go well together; especially in the dark Let first responders do their work. Stay sheltered & off the roads Text rather than call family & friends to let them know you are safe",2018-10-10 20:35:01,https://twitter.com/NWS/status/1050182950988464133,1147,533,,1
60,"Don't be tempted to get outside and explore the damage done by # Michael. Winds might be calming down and the rain stopping, but significant danger remains. Downed power lines can kill. # WeatherReadypic.twitter.com/PcYtwdNF8L",2018-10-10 18:40:07,https://twitter.com/NWS/status/1050154033401528321,145,127,https://pbs.twimg.com/media/DpLlO34UUAA9tTh.jpg,1
61,"As # Michael moves farther inland into Georgia and areas less familiar with extreme winds, trees become a clear and present danger. Minimize your risk in single story homes by staying in interior rooms AWAY FROM LARGE TREES and overhanging branches. # flwx # alwx # gawx # scwxpic.twitter.com/O1xlN217en",2018-10-10 17:40:50,https://twitter.com/NWS/status/1050139114237030400,288,204,https://pbs.twimg.com/media/DpLXLGrUUAAR3Ve.jpg,1
62,The latest on # Michael from the National Hurricane Center LIVE NOW: https://www.facebook.com/NWSNHC/videos/2140946266144190/ …https://twitter.com/NHC_Atlantic/status/1050133969646379008 …,2018-10-10 17:37:34,https://twitter.com/NWS/status/1050138295299125248,32,22,,1
63,Eye of # Michael is approaching extreme southeastern Alabama and southwest Georgia - (5 PM EDT) update. Saffir-Simpson Wind Scale: Category 3 Maximum Sustained Winds: 125 mph Minimum Central Pressure: 932 mb Movement: North-Northeast at 16 mph http://hurricanes.gov https://twitter.com/NHC_Atlantic/status/1050127845031329793 …,2018-10-10 17:09:39,https://twitter.com/NWS/status/1050131268153856000,84,82,,-1
64,"Radar data indicate that the eye of # Michael is moving inland over portions of Bay & Calhoun counties in the Florida Panhandle. Those in these areas are reminded not to venture out into the relative calm of the eye, as hazardous winds will increase very quickly as the eye passes!https://twitter.com/NWSTallahassee/status/1050097730977173506 …",2018-10-10 15:02:07,https://twitter.com/NWS/status/1050099174698573826,123,79,,1
65,LIVE NOW: https://www.facebook.com/NWSNHC/videos/2203187556620597/ …https://twitter.com/NHC_Atlantic/status/1050089077004034049 …,2018-10-10 14:55:11,https://twitter.com/NWS/status/1050097429079560197,34,26,,1
66,This is roughly equivalent to a 3-hr long tornado warning. Immediately get to shelter or interior room!https://twitter.com/NWSTallahassee/status/1050073549921234944 …,2018-10-10 13:31:26,https://twitter.com/NWS/status/1050076350701326337,262,269,,-1
67,"Landfall of # HurricaneMichael is imminent. THIS IS A WORST CASE SCENARIO for the Florida Panhandle!! Listen to your local emergency officials. Stay Inside & Survive!"" --NWS Director Dr. Louis Uccellini @ NWSDirectorpic.twitter.com/EMSZbMaHwW",2018-10-10 11:53:44,https://twitter.com/NWS/status/1050051765914230784,1152,1231,,-1
68,"Didn't evacuate? Take action now to survive # HurricaneMichael. Immediate threats are storm surge, flying projectiles, falling trees. Seek refuge in an interior room away from windows.pic.twitter.com/1IpMwEojJP",2018-10-10 10:55:42,https://twitter.com/NWS/status/1050037161448357888,178,148,https://pbs.twimg.com/media/DpJ4xOjU8AALipn.jpg,1
69,# HurricaneMichael is nearing the Florida Panhandle & will have potentially catastrophic impacts - (8 AM EDT) update. Saffir-Simpson Wind Scale: Category 4 Maximum Sustained Winds: 145 mph Minimum Central Pressure: 933 mb Movement: North at 13 mph http://hurricanes.gov https://twitter.com/NHC_Atlantic/status/1049989432261181440 …,2018-10-10 08:35:18,https://twitter.com/NWS/status/1050001827553533955,134,139,,0
70,# HurricaneMichael is still strengthening and is now explicitly forecast to become a Category 4 hurricane before landfall occurs. This is a life-threatening event for the northeastern part of the Gulf Coast. http://hurricanes.gov pic.twitter.com/n1uLN0WQoa,2018-10-09 23:36:13,https://twitter.com/NWS/status/1049866165135298560,239,292,https://pbs.twimg.com/media/DpHb4YLUYAEJM-Z.jpg,0
71,Meanwhile...while we wait for the latest update on # HurricaneMichael...we see a large area of winter-like weather ongoing from Montana to the Northern Plains! # mtwx # wywx # newx # sdwx # ndwx http://weather.gov https://twitter.com/NWSMissoula/status/1049853067846402049 …,2018-10-09 22:57:06,https://twitter.com/NWS/status/1049856319530909698,97,56,,1
