,station number,datetime,Gage height (ft),Precipitation (in),Discharge (ft^3/S)
0,2172035,2016-10-06 00:00,4.35,0.0,
1,2172035,2016-10-06 00:05,,0.0,
2,2172035,2016-10-06 00:10,,0.0,
3,2172035,2016-10-06 00:15,4.33,0.0,
4,2172035,2016-10-06 00:20,,0.0,
5,2172035,2016-10-06 00:25,,0.0,
6,2172035,2016-10-06 00:30,4.35,0.0,
7,2172035,2016-10-06 00:35,,0.0,
8,2172035,2016-10-06 00:40,,0.0,
9,2172035,2016-10-06 00:45,4.35,0.0,
10,2172035,2016-10-06 00:50,,0.0,
11,2172035,2016-10-06 00:55,,0.0,
12,2172035,2016-10-06 01:00,4.35,0.0,6.83
13,2172035,2016-10-06 01:05,,0.0,
14,2172035,2016-10-06 01:10,,0.0,
15,2172035,2016-10-06 01:15,4.35,0.0,6.83
16,2172035,2016-10-06 01:20,,0.0,
17,2172035,2016-10-06 01:25,,0.0,
18,2172035,2016-10-06 01:30,4.35,0.0,6.83
19,2172035,2016-10-06 01:35,,0.0,
20,2172035,2016-10-06 01:40,,0.0,
21,2172035,2016-10-06 01:45,4.34,0.0,6.66
22,2172035,2016-10-06 01:50,,0.0,
23,2172035,2016-10-06 01:55,,0.0,
24,2172035,2016-10-06 02:00,4.34,0.0,6.66
25,2172035,2016-10-06 02:05,,0.0,
26,2172035,2016-10-06 02:10,,0.0,
27,2172035,2016-10-06 02:15,4.34,0.0,6.66
28,2172035,2016-10-06 02:20,,0.0,
29,2172035,2016-10-06 02:25,,0.0,
30,2172035,2016-10-06 02:30,4.34,0.0,6.66
31,2172035,2016-10-06 02:35,,0.0,
32,2172035,2016-10-06 02:40,,0.0,
33,2172035,2016-10-06 02:45,4.34,0.0,6.66
34,2172035,2016-10-06 02:50,,0.0,
35,2172035,2016-10-06 02:55,,0.0,
36,2172035,2016-10-06 03:00,4.34,0.0,6.66
37,2172035,2016-10-06 03:05,,0.0,
38,2172035,2016-10-06 03:10,,0.0,
39,2172035,2016-10-06 03:15,4.34,0.0,6.66
40,2172035,2016-10-06 03:20,,0.0,
41,2172035,2016-10-06 03:25,,0.0,
42,2172035,2016-10-06 03:30,4.34,0.0,6.66
43,2172035,2016-10-06 03:35,,0.0,
44,2172035,2016-10-06 03:40,,0.0,
45,2172035,2016-10-06 03:45,4.34,0.0,6.66
46,2172035,2016-10-06 03:50,,0.0,
47,2172035,2016-10-06 03:55,,0.0,
48,2172035,2016-10-06 04:00,4.34,0.0,6.66
49,2172035,2016-10-06 04:05,,0.0,
50,2172035,2016-10-06 04:10,,0.0,
51,2172035,2016-10-06 04:15,4.33,0.0,6.5
52,2172035,2016-10-06 04:20,,0.0,
53,2172035,2016-10-06 04:25,,0.0,
54,2172035,2016-10-06 04:30,4.33,0.0,6.5
55,2172035,2016-10-06 04:35,,0.0,
56,2172035,2016-10-06 04:40,,0.0,
57,2172035,2016-10-06 04:45,4.33,0.0,6.5
58,2172035,2016-10-06 04:50,,0.0,
59,2172035,2016-10-06 04:55,,0.0,
60,2172035,2016-10-06 05:00,4.33,0.0,6.5
61,2172035,2016-10-06 05:05,,0.0,
62,2172035,2016-10-06 05:10,,0.0,
63,2172035,2016-10-06 05:15,4.33,0.0,6.5
64,2172035,2016-10-06 05:20,,0.0,
65,2172035,2016-10-06 05:25,,0.0,
66,2172035,2016-10-06 05:30,4.33,0.0,6.5
67,2172035,2016-10-06 05:35,,0.0,
68,2172035,2016-10-06 05:40,,0.0,
69,2172035,2016-10-06 05:45,4.33,0.0,6.5
70,2172035,2016-10-06 05:50,,0.0,
71,2172035,2016-10-06 05:55,,0.0,
72,2172035,2016-10-06 06:00,4.33,0.0,6.5
73,2172035,2016-10-06 06:05,,0.0,
74,2172035,2016-10-06 06:10,,0.0,
75,2172035,2016-10-06 06:15,4.32,0.0,6.35
76,2172035,2016-10-06 06:20,,0.0,
77,2172035,2016-10-06 06:25,,0.0,
78,2172035,2016-10-06 06:30,4.32,0.0,6.35
79,2172035,2016-10-06 06:35,,0.0,
80,2172035,2016-10-06 06:40,,0.0,
81,2172035,2016-10-06 06:45,4.32,0.0,6.35
82,2172035,2016-10-06 06:50,,0.0,
83,2172035,2016-10-06 06:55,,0.0,
84,2172035,2016-10-06 07:00,4.32,0.0,6.35
85,2172035,2016-10-06 07:05,,0.0,
86,2172035,2016-10-06 07:10,,0.0,
87,2172035,2016-10-06 07:15,4.32,0.0,6.35
88,2172035,2016-10-06 07:20,,0.0,
89,2172035,2016-10-06 07:25,,0.0,
90,2172035,2016-10-06 07:30,4.32,0.0,6.35
91,2172035,2016-10-06 07:35,,0.0,
92,2172035,2016-10-06 07:40,,0.0,
93,2172035,2016-10-06 07:45,4.32,0.0,6.35
94,2172035,2016-10-06 07:50,,0.0,
95,2172035,2016-10-06 07:55,,0.0,
96,2172035,2016-10-06 08:00,4.32,0.0,6.35
97,2172035,2016-10-06 08:05,,0.0,
98,2172035,2016-10-06 08:10,,0.0,
99,2172035,2016-10-06 08:15,4.32,0.0,6.35
100,2172035,2016-10-06 08:20,,0.0,
101,2172035,2016-10-06 08:25,,0.0,
102,2172035,2016-10-06 08:30,4.32,0.0,6.35
103,2172035,2016-10-06 08:35,,0.0,
104,2172035,2016-10-06 08:40,,0.0,
105,2172035,2016-10-06 08:45,4.32,0.0,6.35
106,2172035,2016-10-06 08:50,,0.0,
107,2172035,2016-10-06 08:55,,0.0,
108,2172035,2016-10-06 09:00,4.31,0.0,6.19
109,2172035,2016-10-06 09:05,,0.0,
110,2172035,2016-10-06 09:10,,0.0,
111,2172035,2016-10-06 09:15,4.31,0.0,6.19
112,2172035,2016-10-06 09:20,,0.0,
113,2172035,2016-10-06 09:25,,0.0,
114,2172035,2016-10-06 09:30,4.31,0.0,6.19
115,2172035,2016-10-06 09:35,,0.0,
116,2172035,2016-10-06 09:40,,0.0,
117,2172035,2016-10-06 09:45,4.31,0.0,6.19
118,2172035,2016-10-06 09:50,,0.0,
119,2172035,2016-10-06 09:55,,0.0,
120,2172035,2016-10-06 10:00,4.31,0.0,6.19
121,2172035,2016-10-06 10:05,,0.0,
122,2172035,2016-10-06 10:10,,0.0,
123,2172035,2016-10-06 10:15,4.31,0.0,6.19
124,2172035,2016-10-06 10:20,,0.0,
125,2172035,2016-10-06 10:25,,0.0,
126,2172035,2016-10-06 10:30,4.31,0.0,6.19
127,2172035,2016-10-06 10:35,,0.0,
128,2172035,2016-10-06 10:40,,0.0,
129,2172035,2016-10-06 10:45,4.31,0.0,6.19
130,2172035,2016-10-06 10:50,,0.0,
131,2172035,2016-10-06 10:55,,0.0,
132,2172035,2016-10-06 11:00,4.31,0.0,6.19
133,2172035,2016-10-06 11:05,,0.0,
134,2172035,2016-10-06 11:10,,0.0,
135,2172035,2016-10-06 11:15,4.31,0.0,6.19
136,2172035,2016-10-06 11:20,,0.0,
137,2172035,2016-10-06 11:25,,0.0,
138,2172035,2016-10-06 11:30,4.31,0.0,6.19
139,2172035,2016-10-06 11:35,,0.0,
140,2172035,2016-10-06 11:40,,0.0,
141,2172035,2016-10-06 11:45,4.3,0.0,6.04
142,2172035,2016-10-06 11:50,,0.0,
143,2172035,2016-10-06 11:55,,0.0,
144,2172035,2016-10-06 12:00,4.3,0.0,6.04
145,2172035,2016-10-06 12:05,,0.0,
146,2172035,2016-10-06 12:10,,0.0,
147,2172035,2016-10-06 12:15,4.3,0.0,6.04
148,2172035,2016-10-06 12:20,,0.0,
149,2172035,2016-10-06 12:25,,0.0,
150,2172035,2016-10-06 12:30,4.3,0.0,6.04
151,2172035,2016-10-06 12:35,,0.0,
152,2172035,2016-10-06 12:40,,0.0,
153,2172035,2016-10-06 12:45,4.3,0.0,6.04
154,2172035,2016-10-06 12:50,,0.0,
155,2172035,2016-10-06 12:55,,0.0,
156,2172035,2016-10-06 13:00,4.3,0.0,6.04
157,2172035,2016-10-06 13:05,,0.0,
158,2172035,2016-10-06 13:10,,0.0,
159,2172035,2016-10-06 13:15,4.3,0.0,6.04
160,2172035,2016-10-06 13:20,,0.0,
161,2172035,2016-10-06 13:25,,0.0,
162,2172035,2016-10-06 13:30,4.3,0.0,6.04
163,2172035,2016-10-06 13:35,,0.0,
164,2172035,2016-10-06 13:40,,0.0,
165,2172035,2016-10-06 13:45,4.3,0.0,6.04
166,2172035,2016-10-06 13:50,,0.0,
167,2172035,2016-10-06 13:55,,0.0,
168,2172035,2016-10-06 14:00,4.3,0.0,6.04
169,2172035,2016-10-06 14:05,,0.0,
170,2172035,2016-10-06 14:10,,0.0,
171,2172035,2016-10-06 14:15,4.29,0.0,5.89
172,2172035,2016-10-06 14:20,,0.0,
173,2172035,2016-10-06 14:25,,0.0,
174,2172035,2016-10-06 14:30,4.29,0.0,5.89
175,2172035,2016-10-06 14:35,,0.0,
176,2172035,2016-10-06 14:40,,0.0,
177,2172035,2016-10-06 14:45,4.29,0.0,5.89
178,2172035,2016-10-06 14:50,,0.0,
179,2172035,2016-10-06 14:55,,0.0,
180,2172035,2016-10-06 15:00,4.29,0.0,5.89
181,2172035,2016-10-06 15:05,,0.0,
182,2172035,2016-10-06 15:10,,0.0,
183,2172035,2016-10-06 15:15,4.29,0.0,5.89
184,2172035,2016-10-06 15:20,,0.0,
185,2172035,2016-10-06 15:25,,0.0,
186,2172035,2016-10-06 15:30,4.29,0.0,5.89
187,2172035,2016-10-06 15:35,,0.0,
188,2172035,2016-10-06 15:40,,0.0,
189,2172035,2016-10-06 15:45,4.29,0.0,5.89
190,2172035,2016-10-06 15:50,,0.0,
191,2172035,2016-10-06 15:55,,0.0,
192,2172035,2016-10-06 16:00,4.29,0.0,5.89
193,2172035,2016-10-06 16:05,,0.0,
194,2172035,2016-10-06 16:10,,0.0,
195,2172035,2016-10-06 16:15,4.28,0.0,5.74
196,2172035,2016-10-06 16:20,,0.0,
197,2172035,2016-10-06 16:25,,0.0,
198,2172035,2016-10-06 16:30,4.28,0.0,5.74
199,2172035,2016-10-06 16:35,,0.0,
200,2172035,2016-10-06 16:40,,0.0,
201,2172035,2016-10-06 16:45,4.28,0.0,5.74
202,2172035,2016-10-06 16:50,,0.0,
203,2172035,2016-10-06 16:55,,0.0,
204,2172035,2016-10-06 17:00,4.28,0.0,5.74
205,2172035,2016-10-06 17:05,,0.0,
206,2172035,2016-10-06 17:10,,0.0,
207,2172035,2016-10-06 17:15,4.28,0.0,5.74
208,2172035,2016-10-06 17:20,,0.0,
209,2172035,2016-10-06 17:25,,0.0,
210,2172035,2016-10-06 17:30,4.28,0.0,5.74
211,2172035,2016-10-06 17:35,,0.0,
212,2172035,2016-10-06 17:40,,0.0,
213,2172035,2016-10-06 17:45,4.28,0.0,5.74
214,2172035,2016-10-06 17:50,,0.0,
215,2172035,2016-10-06 17:55,,0.0,
216,2172035,2016-10-06 18:00,4.28,0.0,5.74
217,2172035,2016-10-06 18:05,,0.0,
218,2172035,2016-10-06 18:10,,0.0,
219,2172035,2016-10-06 18:15,4.28,0.0,5.74
220,2172035,2016-10-06 18:20,,0.0,
221,2172035,2016-10-06 18:25,,0.0,
222,2172035,2016-10-06 18:30,4.27,0.0,5.6
223,2172035,2016-10-06 18:35,,0.0,
224,2172035,2016-10-06 18:40,,0.0,
225,2172035,2016-10-06 18:45,4.27,0.0,5.6
226,2172035,2016-10-06 18:50,,0.0,
227,2172035,2016-10-06 18:55,,0.0,
228,2172035,2016-10-06 19:00,4.27,0.0,5.6
229,2172035,2016-10-06 19:05,,0.0,
230,2172035,2016-10-06 19:10,,0.0,
231,2172035,2016-10-06 19:15,4.27,0.0,5.6
232,2172035,2016-10-06 19:20,,0.0,
233,2172035,2016-10-06 19:25,,0.0,
234,2172035,2016-10-06 19:30,4.27,0.0,5.6
235,2172035,2016-10-06 19:35,,0.0,
236,2172035,2016-10-06 19:40,,0.0,
237,2172035,2016-10-06 19:45,4.27,0.0,5.6
238,2172035,2016-10-06 19:50,,0.0,
239,2172035,2016-10-06 19:55,,0.0,
240,2172035,2016-10-06 20:00,4.27,0.0,5.6
241,2172035,2016-10-06 20:05,,0.0,
242,2172035,2016-10-06 20:10,,0.0,
243,2172035,2016-10-06 20:15,4.26,0.0,5.45
244,2172035,2016-10-06 20:20,,0.0,
245,2172035,2016-10-06 20:25,,0.0,
246,2172035,2016-10-06 20:30,4.26,0.0,5.45
247,2172035,2016-10-06 20:35,,0.0,
248,2172035,2016-10-06 20:40,,0.0,
249,2172035,2016-10-06 20:45,4.26,0.0,5.45
250,2172035,2016-10-06 20:50,,0.0,
251,2172035,2016-10-06 20:55,,0.0,
252,2172035,2016-10-06 21:00,4.26,0.0,5.45
253,2172035,2016-10-06 21:05,,0.0,
254,2172035,2016-10-06 21:10,,0.0,
255,2172035,2016-10-06 21:15,4.26,0.0,5.45
256,2172035,2016-10-06 21:20,,0.0,
257,2172035,2016-10-06 21:25,,0.0,
258,2172035,2016-10-06 21:30,4.26,0.0,5.45
259,2172035,2016-10-06 21:35,,0.0,
260,2172035,2016-10-06 21:40,,0.0,
261,2172035,2016-10-06 21:45,4.26,0.0,5.45
262,2172035,2016-10-06 21:50,,0.0,
263,2172035,2016-10-06 21:55,,0.0,
264,2172035,2016-10-06 22:00,4.26,0.0,5.45
265,2172035,2016-10-06 22:05,,0.0,
266,2172035,2016-10-06 22:10,,0.0,
267,2172035,2016-10-06 22:15,4.26,0.0,5.45
268,2172035,2016-10-06 22:20,,0.0,
269,2172035,2016-10-06 22:25,,0.0,
270,2172035,2016-10-06 22:30,4.26,0.0,5.45
271,2172035,2016-10-06 22:35,,0.0,
272,2172035,2016-10-06 22:40,,0.0,
273,2172035,2016-10-06 22:45,4.26,0.0,5.45
274,2172035,2016-10-06 22:50,,0.0,
275,2172035,2016-10-06 22:55,,0.0,
276,2172035,2016-10-06 23:00,4.25,0.0,5.31
277,2172035,2016-10-06 23:05,,0.0,
278,2172035,2016-10-06 23:10,,0.0,
279,2172035,2016-10-06 23:15,4.25,0.0,5.31
280,2172035,2016-10-06 23:20,,0.0,
281,2172035,2016-10-06 23:25,,0.0,
282,2172035,2016-10-06 23:30,4.25,0.0,5.31
283,2172035,2016-10-06 23:35,,0.0,
284,2172035,2016-10-06 23:40,,0.0,
285,2172035,2016-10-06 23:45,4.25,0.0,5.31
